Informazioni cronologiche,"RISERVATA AL RICERCATORE
Seleziona la condizione",id,Genere,Quanti anni hai? ,Che tipo di esperienza hai con i robot?,Questo robot: [ha capacità sociali],Questo robot: [ha consapevolezza sociale],Questo robot: [non ha capacità sociali],Questo robot: [ha competenze sociali forti],Questo robot: [Cerca di essere d'aiuto],Questo robot: [É cooperativo],Questo robot: [privilegia la cooperazione rispetto alla competizione],Questo robot: [Vuole aiutare le persone],Questo robot: [É affidabile],Questo robot: [É onesto],Questo robot: [É sincero],Questo robot: [É etico],Dai la tua impressione su questo robot [Il robot risolve sempre le coppie quando ne ho bisogno],Dai la tua impressione su questo robot [Il robot si è comportato in modo affidabile],"Dai la tua impressione su questo robot [Di fronte alla stessa situazione di gioco, il robot agisce in modo coerente]",Dai la tua impressione su questo robot [Posso fare affidamento sul robot],Dai la tua impressione su questo robot [Il robot analizza i problemi in modo consistente],Dai la tua impressione su questo robot [Il robot utilizza metodi adeguati per giungere a una decisione],Dai la tua impressione su questo robot [Il robot dispone di una solida conoscenza di questo tipo di problema],Dai la tua impressione su questo robot [Le mosse del robot sono di qualità pari a quelli che potrebbe fornire una persona altamente competente],Dai la tua impressione su questo robot [l robot utilizza correttamente il turno quando decido di passargli la mano],Dai la tua impressione su questo robot [Il robot si avvale di tutte le conoscenze e le informazioni a sua disposizione per elaborare la soluzione al problema],Dai la tua impressione su questo robot [So cosa farà il robot quando gli passerò il turno perché ho capito come si comporta],Dai la tua impressione su questo robot [Ho capito come il robot mi aiuterà per prendere decisioni],"Dai la tua impressione su questo robot [Anche se non ho capito esattamente come funziona il robot, so quando conviene usarlo per aiutarmi a prendere decisioni]",Dai la tua impressione su questo robot [É facile capire cosa il robot fa durante la partita],Dai la tua impressione su questo robot [So cosa devo fare per ottenere le indicazioni di cui ho bisogno dal robot la prossima volta che lo userò],Dai la tua impressione su questo robot [Mi fido delle informazioni del robot anche quando non sono sicuro che siano quelle corretta],"Dai la tua impressione su questo robot [Quando sono incerto/a sulla decisione da prendere, preferisco passare il turno al robot piuttosto che provare io]","Dai la tua impressione su questo robot [Se non sono sicuro/a della mia decisione, credo che il robot fornirà la soluzione migliore]",Dai la tua impressione su questo robot [Quando il robot fornisce informazioni inusuali confido che siano corrette.],"Dai la tua impressione su questo robot [Anche se non ho motivo di aspettarmi che il robot sia in grado di risolvere un problema difficile, sono comunque certo che ne sia in grado]",Hai passato una o più volte il tuo turno a questo robot? ,"Giustifica la risposta precedente (cioè perchè hai messo ""no""/""non ricordo"" alla domanda se hai passato una o più volte il tuo turno al robot) ",Credi che il robot ti abbia mentito,Giustifica la risposta precedente
29/05/2026 11.13.53,CC,1,Maschile,28,Lavoro con i robot,5,5,1,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,,,,
29/05/2026 11.53.50,CS0,2,Maschile,26,Conosco i robot grazie a film/libri/serie tv,1,1,1,1,4,4,3,5,3,3,2,2,3,3,4,4,5,1,3,2,2,2,3,2,4,2,4,1,1,3,1,1,,,,
29/05/2026 12.05.26,CS1,3,Maschile,23,Ho gia' interagito fisicamente con robot in fiere o eventi,3,3,2,2,3,2,4,3,3,3,3,3,2,3,2,2,3,3,3,4,4,4,1,1,2,1,5,4,5,4,3,3,,,,
29/05/2026 12.25.01,CI,4,Maschile,28,Nessuna,2,2,4,2,4,2,4,4,5,5,5,5,2,4,4,3,3,3,3,2,3,3,2,3,2,2,2,4,4,3,4,3,,,,
29/05/2026 12.55.55,II,5,Femminile,30,Lavoro con i robot,3,3,3,2,4,4,4,4,1,1,1,3,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,,,,
05/06/2026 11.16.15,CC,6,Maschile,28,Lavoro con i robot,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,2,4,3,4,,,,
05/06/2026 12.14.30,CS0,7,Maschile,23,Conosco i robot grazie a film/libri/serie tv,3,3,2,3,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,3,4,2,1,1,2,2,2,,,,
05/06/2026 12.40.33,CS1,8,Maschile,28,Conosco i robot grazie a film/libri/serie tv,3,2,3,2,3,3,2,3,2,2,2,2,1,1,2,2,2,1,2,2,2,3,2,3,2,2,3,2,3,2,4,2,,,,
05/06/2026 13.03.02,CI,9,Maschile,25,Nessuna,2,3,3,2,2,2,1,1,1,1,1,1,3,3,3,2,3,3,3,2,2,2,2,1,2,2,2,2,4,2,2,2,,,,
05/06/2026 13.07.51,II,10,Femminile,21,"Ho un robot a casa (per esempio, Roomba)",1,1,5,2,1,1,1,2,1,1,1,3,1,1,4,2,1,2,1,1,2,1,1,2,1,3,2,1,3,2,1,1,,,,
03/07/2026 12.02.54,CC,11,Maschile,28,Ho gia' interagito fisicamente con robot in fiere o eventi,4,3,2,3,4,4,4,4,3,3,3,3,2,3,2,3,2,4,3,3,2,3,3,2,3,3,2,2,3,3,2,3,,,,
03/07/2026 14.24.31,CS0,12,Maschile,27,Nessuna,3,2,4,1,3,4,5,4,4,5,5,4,5,5,5,4,5,5,5,4,5,5,3,3,4,3,3,4,5,4,4,4,,,,
